left_leg_upper,left_leg_lower,right_leg_upper,right_leg_lower,left_arm_upper,left_arm_lower,right_arm_upper,right_arm_lower,t_left_leg_upper,t_left_leg_lower,t_right_leg_upper,t_right_leg_lower,t_left_arm_upper,t_left_arm_lower,t_right_arm_upper,t_right_arm_lower
1.916738,315,10.83333,353.8331,9.666672,71.5,337.6669,55.33336,2.000061,315,9.999992,353.9998,9.000005,72,338.0002,56.00003
2.000061,315,9.999992,353.9998,9.000005,72,338.0002,56.00003,2.083384,315,9.166659,354.1664,8.333338,72.5,338.3336,56.6667
2.083384,315,9.166659,354.1664,8.333338,72.5,338.3336,56.6667,2.166707,315,8.333326,354.3331,7.666671,73,338.6669,57.33337
2.166707,315,8.333326,354.3331,7.666671,73,338.6669,57.33337,2.250031,315,7.499993,354.4997,7.000005,73.5,339.0003,58.00003
2.250031,315,7.499993,354.4997,7.000005,73.5,339.0003,58.00003,2.333354,315,6.666659,354.6664,6.333338,74,339.3336,58.6667
2.333354,315,6.666659,354.6664,6.333338,74,339.3336,58.6667,2.416677,315,5.833326,354.833,5.666672,74.5,339.667,59.33337
2.416677,315,5.833326,354.833,5.666672,74.5,339.667,59.33337,2.5,315,5,354.9997,5.000005,75,340,60
2.5,315,5,354.9997,5.000005,75,340,60,2.75,314,5,354.9164,4.500005,75.5,340,60.83333
2.75,314,5,354.9164,4.500005,75.5,340,60.83333,3,313,5,354.8331,4.000005,76,340,61.66666
3,313,5,354.8331,4.000005,76,340,61.66666,3.25,312,5,354.7498,3.500005,76.5,340,62.5
3.25,312,5,354.7498,3.500005,76.5,340,62.5,3.5,311,5,354.6664,3.000005,77,340,63.33333
3.5,311,5,354.6664,3.000005,77,340,63.33333,3.75,310,5,354.5831,2.500005,77.5,340,64.16666
3.75,310,5,354.5831,2.500005,77.5,340,64.16666,4,309,5,354.4998,2.000004,78,340,65
4,309,5,354.4998,2.000004,78,340,65,4.25,308,5,354.4165,1.500004,78.5,340,65.83334
4.25,308,5,354.4165,1.500004,78.5,340,65.83334,4.5,307,5,354.3332,1.000004,79,340,66.66667
4.5,307,5,354.3332,1.000004,79,340,66.66667,4.75,306,5,354.2499,0.5000036,79.5,340,67.50001
4.75,306,5,354.2499,0.5000036,79.5,340,67.50001,5,305,5,354.1666,3.457069e-06,80,340,68.33334
5,305,5,354.1666,3.457069e-06,80,340,68.33334,5.25,304,5,354.0833,359.5,80.5,340,69.16668
5.25,304,5,354.0833,359.5,80.5,340,69.16668,5.5,303,5,353.9999,359,81,340,70.00002
5.5,303,5,353.9999,359,81,340,70.00002,5.75,302,5,353.9166,358.5,81.5,340,70.83335
5.75,302,5,353.9166,358.5,81.5,340,70.83335,6,301,5,353.8333,358,82,340,71.66669
6,301,5,353.8333,358,82,340,71.66669,6.25,300,5,353.75,357.5,82.5,340,72.50002
6.25,300,5,353.75,357.5,82.5,340,72.50002,6.5,299,5,353.6667,357,83,340,73.33336
6.5,299,5,353.6667,357,83,340,73.33336,6.75,298,5,353.5834,356.5,83.5,340,74.16669
6.75,298,5,353.5834,356.5,83.5,340,74.16669,7,297,5,353.5001,356,84,340,75.00003
7,297,5,353.5001,356,84,340,75.00003,7.25,296,5,353.4167,355.5,84.5,340,75.83337
7.25,296,5,353.4167,355.5,84.5,340,75.83337,7.5,295,5,353.3334,355,85,340,76.6667
7.5,295,5,353.3334,355,85,340,76.6667,7.75,294,5,353.2501,354.5,85.5,340,77.50004
7.75,294,5,353.2501,354.5,85.5,340,77.50004,8,293,5,353.1668,354,86,340,78.33337
8,293,5,353.1668,354,86,340,78.33337,8.25,292,5,353.0835,353.5,86.5,340,79.16671
8.25,292,5,353.0835,353.5,86.5,340,79.16671,8.5,291,5,353.0002,353,87,340,80.00005
8.5,291,5,353.0002,353,87,340,80.00005,8.75,290,5,352.9169,352.5,87.5,340,80.83338
8.75,290,5,352.9169,352.5,87.5,340,80.83338,9,289,5,352.8336,352,88,340,81.66672
9,289,5,352.8336,352,88,340,81.66672,9.25,288,5,352.7502,351.5,88.5,340,82.50005
9.25,288,5,352.7502,351.5,88.5,340,82.50005,9.5,287,5,352.6669,351,89,340,83.33339
9.5,287,5,352.6669,351,89,340,83.33339,9.75,286,5,352.5836,350.5,89.5,340,84.16673
9.75,286,5,352.5836,350.5,89.5,340,84.16673,10,285,5,352.5,350,90,340,85
10,285,5,352.5,350,90,340,85,10.5,285.5,4.833333,352.75,349.8333,88.66666,340.6667,85
10.5,285.5,4.833333,352.75,349.8333,88.66666,340.6667,85,11,286,4.666667,353,349.6667,87.33333,341.3333,85
11,286,4.666667,353,349.6667,87.33333,341.3333,85,11.5,286.5,4.5,353.25,349.5,85.99999,342,85
11.5,286.5,4.5,353.25,349.5,85.99999,342,85,12,287,4.333334,353.5,349.3334,84.66666,342.6666,85
12,287,4.333334,353.5,349.3334,84.66666,342.6666,85,12.5,287.5,4.166667,353.75,349.1667,83.33332,343.3333,85
12.5,287.5,4.166667,353.75,349.1667,83.33332,343.3333,85,13,288,4.000001,354,349.0001,81.99998,343.9999,85
13,288,4.000001,354,349.0001,81.99998,343.9999,85,13.5,288.5,3.833334,354.25,348.8334,80.66665,344.6666,85
13.5,288.5,3.833334,354.25,348.8334,80.66665,344.6666,85,14,289,3.666667,354.5,348.6667,79.33331,345.3333,85
14,289,3.666667,354.5,348.6667,79.33331,345.3333,85,14.5,289.5,3.500001,354.75,348.5001,77.99998,345.9999,85
14.5,289.5,3.500001,354.75,348.5001,77.99998,345.9999,85,15,290,3.333334,355,348.3334,76.66664,346.6666,85
15,290,3.333334,355,348.3334,76.66664,346.6666,85,15.5,290.5,3.166667,355.25,348.1668,75.33331,347.3332,85
15.5,290.5,3.166667,355.25,348.1668,75.33331,347.3332,85,16,291,3,355.5,348.0001,73.99997,347.9999,85
16,291,3,355.5,348.0001,73.99997,347.9999,85,16.5,291.5,2.833334,355.75,347.8335,72.66663,348.6665,85
16.5,291.5,2.833334,355.75,347.8335,72.66663,348.6665,85,17,292,2.666667,356,347.6668,71.3333,349.3332,85
17,292,2.666667,356,347.6668,71.3333,349.3332,85,17.5,292.5,2.5,356.25,347.5002,69.99996,349.9998,85
17.5,292.5,2.5,356.25,347.5002,69.99996,349.9998,85,18,293,2.333333,356.5,347.3335,68.66663,350.6665,85
18,293,2.333333,356.5,347.3335,68.66663,350.6665,85,18.5,293.5,2.166667,356.75,347.1668,67.33329,351.3332,85
18.5,293.5,2.166667,356.75,347.1668,67.33329,351.3332,85,19,294,2,357,347.0002,65.99995,351.9998,85
19,294,2,357,347.0002,65.99995,351.9998,85,19.5,294.5,1.833333,357.25,346.8335,64.66662,352.6665,85
19.5,294.5,1.833333,357.25,346.8335,64.66662,352.6665,85,20,295,1.666667,357.5,346.6669,63.33329,353.3331,85
20,295,1.666667,357.5,346.6669,63.33329,353.3331,85,20.5,295.5,1.5,357.75,346.5002,61.99995,353.9998,85
20.5,295.5,1.5,357.75,346.5002,61.99995,353.9998,85,21,296,1.333333,358,346.3336,60.66662,354.6664,85
21,296,1.333333,358,346.3336,60.66662,354.6664,85,21.5,296.5,1.166667,358.25,346.1669,59.33329,355.3331,85
21.5,296.5,1.166667,358.25,346.1669,59.33329,355.3331,85,22,297,1,358.5,346.0002,57.99996,355.9998,85
22,297,1,358.5,346.0002,57.99996,355.9998,85,22.5,297.5,0.8333336,358.75,345.8336,56.66663,356.6664,85
22.5,297.5,0.8333336,358.75,345.8336,56.66663,356.6664,85,23,298,0.6666669,359,345.6669,55.33329,357.3331,85
23,298,0.6666669,359,345.6669,55.33329,357.3331,85,23.5,298.5,0.5000002,359.25,345.5003,53.99996,357.9997,85
23.5,298.5,0.5000002,359.25,345.5003,53.99996,357.9997,85,24,299,0.3333335,359.5,345.3336,52.66663,358.6664,85
24,299,0.3333335,359.5,345.3336,52.66663,358.6664,85,24.5,299.5,0.1666668,359.75,345.167,51.3333,359.333,85
24.5,299.5,0.1666668,359.75,345.167,51.3333,359.333,85,25,300,1.490116e-07,360,345.0003,50,359.9997,85
25,300,1.490116e-07,360,345.0003,50,359.9997,85,25,300,0,0.25,345,50,0.6663513,85
25,300,0,0.25,345,50,0.6663513,85,25,300,0,0,345,50,0,85
25,300,0,0,345,50,0,85,25,301.3333,0.08333334,359.3333,344.5,49.66667,0.8333333,84.16666
25,301.3333,0.08333334,359.3333,344.5,49.66667,0.8333333,84.16666,25,302.6667,0.1666667,358.6667,344,49.33334,1.666667,83.33333
25,302.6667,0.1666667,358.6667,344,49.33334,1.666667,83.33333,25,304,0.25,358,343.5,49,2.5,82.49999
25,304,0.25,358,343.5,49,2.5,82.49999,25,305.3334,0.3333333,357.3334,343,48.66667,3.333333,81.66666
25,305.3334,0.3333333,357.3334,343,48.66667,3.333333,81.66666,25,306.6667,0.4166667,356.6667,342.5,48.33334,4.166667,80.83332
25,306.6667,0.4166667,356.6667,342.5,48.33334,4.166667,80.83332,25,308.0001,0.5,356.0001,342,48.00001,5,79.99998
25,308.0001,0.5,356.0001,342,48.00001,5,79.99998,25,309.3334,0.5833333,355.3334,341.5,47.66668,5.833333,79.16665
25,309.3334,0.5833333,355.3334,341.5,47.66668,5.833333,79.16665,25,310.6667,0.6666666,354.6667,341,47.33334,6.666667,78.33331
25,310.6667,0.6666666,354.6667,341,47.33334,6.666667,78.33331,25,312.0001,0.7499999,354.0001,340.5,47.00001,7.5,77.49998
25,312.0001,0.7499999,354.0001,340.5,47.00001,7.5,77.49998,25,313.3334,0.8333333,353.3334,340,46.66668,8.333334,76.66664
25,313.3334,0.8333333,353.3334,340,46.66668,8.333334,76.66664,25,314.6668,0.9166666,352.6668,339.5,46.33335,9.166667,75.83331
25,314.6668,0.9166666,352.6668,339.5,46.33335,9.166667,75.83331,25,316.0001,0.9999999,352.0001,339,46.00002,10,74.99997
25,316.0001,0.9999999,352.0001,339,46.00002,10,74.99997,25,317.3335,1.083333,351.3335,338.5,45.66668,10.83333,74.16663
25,317.3335,1.083333,351.3335,338.5,45.66668,10.83333,74.16663,25,318.6668,1.166667,350.6668,338,45.33335,11.66667,73.3333
25,318.6668,1.166667,350.6668,338,45.33335,11.66667,73.3333,25,320.0002,1.25,350.0002,337.5,45.00002,12.5,72.49996
25,320.0002,1.25,350.0002,337.5,45.00002,12.5,72.49996,25,321.3335,1.333333,349.3335,337,44.66669,13.33333,71.66663
25,321.3335,1.333333,349.3335,337,44.66669,13.33333,71.66663,25,322.6668,1.416667,348.6668,336.5,44.33335,14.16667,70.83329
25,322.6668,1.416667,348.6668,336.5,44.33335,14.16667,70.83329,25,324.0002,1.5,348.0002,336,44.00002,15,69.99995
25,324.0002,1.5,348.0002,336,44.00002,15,69.99995,25,325.3335,1.583333,347.3335,335.5,43.66669,15.83333,69.16662
25,325.3335,1.583333,347.3335,335.5,43.66669,15.83333,69.16662,25,326.6669,1.666667,346.6669,335,43.33336,16.66666,68.33328
25,326.6669,1.666667,346.6669,335,43.33336,16.66666,68.33328,25,328.0002,1.75,346.0002,334.5,43.00003,17.5,67.49995
25,328.0002,1.75,346.0002,334.5,43.00003,17.5,67.49995,25,329.3336,1.833334,345.3336,334,42.66669,18.33333,66.66661
25,329.3336,1.833334,345.3336,334,42.66669,18.33333,66.66661,25,330.6669,1.916667,344.6669,333.5,42.33336,19.16667,65.83327
25,330.6669,1.916667,344.6669,333.5,42.33336,19.16667,65.83327,25,332.0002,2,344.0002,333,42.00003,20,64.99994
25,332.0002,2,344.0002,333,42.00003,20,64.99994,25,333.3336,2.083333,343.3336,332.5,41.6667,20.83333,64.1666
25,333.3336,2.083333,343.3336,332.5,41.6667,20.83333,64.1666,25,334.6669,2.166667,342.6669,332,41.33337,21.66667,63.33327
25,334.6669,2.166667,342.6669,332,41.33337,21.66667,63.33327,25,336.0003,2.25,342.0003,331.5,41.00003,22.5,62.49994
25,336.0003,2.25,342.0003,331.5,41.00003,22.5,62.49994,25,337.3336,2.333333,341.3336,331,40.6667,23.33334,61.66661
25,337.3336,2.333333,341.3336,331,40.6667,23.33334,61.66661,25,338.667,2.416667,340.667,330.5,40.33337,24.16667,60.83327
25,338.667,2.416667,340.667,330.5,40.33337,24.16667,60.83327,25,340,2.5,340.0003,330,40.00004,25,60
25,340,2.5,340.0003,330,40.00004,25,60,25.16667,340.3333,2.416667,339.667,329.6667,40.6667,25.16667,60
25.16667,340.3333,2.416667,339.667,329.6667,40.6667,25.16667,60,25.33333,340.6667,2.333333,339.3336,329.3333,41.33337,25.33333,60
25.33333,340.6667,2.333333,339.3336,329.3333,41.33337,25.33333,60,25.5,341,2.25,339.0003,329,42.00003,25.5,60
25.5,341,2.25,339.0003,329,42.00003,25.5,60,25.66666,341.3334,2.166667,338.6669,328.6666,42.66669,25.66666,60
25.66666,341.3334,2.166667,338.6669,328.6666,42.66669,25.66666,60,25.83333,341.6667,2.083334,338.3336,328.3333,43.33336,25.83333,60
25.83333,341.6667,2.083334,338.3336,328.3333,43.33336,25.83333,60,26,342.0001,2,338.0002,327.9999,44.00002,26,60
26,342.0001,2,338.0002,327.9999,44.00002,26,60,26.16666,342.3334,1.916667,337.6669,327.6666,44.66669,26.16666,60
26.16666,342.3334,1.916667,337.6669,327.6666,44.66669,26.16666,60,26.33333,342.6667,1.833334,337.3336,327.3333,45.33335,26.33333,60
26.33333,342.6667,1.833334,337.3336,327.3333,45.33335,26.33333,60,26.49999,343.0001,1.75,337.0002,326.9999,46.00002,26.49999,60
26.49999,343.0001,1.75,337.0002,326.9999,46.00002,26.49999,60,26.66666,343.3334,1.666667,336.6669,326.6666,46.66668,26.66666,60
26.66666,343.3334,1.666667,336.6669,326.6666,46.66668,26.66666,60,26.83333,343.6668,1.583334,336.3335,326.3332,47.33334,26.83333,60
26.83333,343.6668,1.583334,336.3335,326.3332,47.33334,26.83333,60,26.99999,344.0001,1.5,336.0002,325.9999,48.00001,26.99999,60
26.99999,344.0001,1.5,336.0002,325.9999,48.00001,26.99999,60,27.16666,344.3335,1.416667,335.6668,325.6665,48.66667,27.16666,60
27.16666,344.3335,1.416667,335.6668,325.6665,48.66667,27.16666,60,27.33332,344.6668,1.333333,335.3335,325.3332,49.33334,27.33332,60
27.33332,344.6668,1.333333,335.3335,325.3332,49.33334,27.33332,60,27.49999,345.0002,1.25,335.0002,324.9998,50,27.49999,60
27.49999,345.0002,1.25,335.0002,324.9998,50,27.49999,60,27.66666,345.3335,1.166667,334.6668,324.6665,50.66666,27.66666,60
27.66666,345.3335,1.166667,334.6668,324.6665,50.66666,27.66666,60,27.83332,345.6668,1.083333,334.3335,324.3332,51.33333,27.83332,60
27.83332,345.6668,1.083333,334.3335,324.3332,51.33333,27.83332,60,27.99999,346.0002,1,334.0001,323.9998,51.99999,27.99999,60
27.99999,346.0002,1,334.0001,323.9998,51.99999,27.99999,60,28.16665,346.3335,0.9166667,333.6668,323.6665,52.66666,28.16665,60
28.16665,346.3335,0.9166667,333.6668,323.6665,52.66666,28.16665,60,28.33332,346.6669,0.8333334,333.3334,323.3331,53.33332,28.33332,60
28.33332,346.6669,0.8333334,333.3334,323.3331,53.33332,28.33332,60,28.49999,347.0002,0.7500001,333.0001,322.9998,53.99998,28.49999,60
28.49999,347.0002,0.7500001,333.0001,322.9998,53.99998,28.49999,60,28.66665,347.3336,0.6666667,332.6667,322.6664,54.66665,28.66665,60
28.66665,347.3336,0.6666667,332.6667,322.6664,54.66665,28.66665,60,28.83332,347.6669,0.5833334,332.3334,322.3331,55.33331,28.83332,60
28.83332,347.6669,0.5833334,332.3334,322.3331,55.33331,28.83332,60,28.99998,348.0002,0.5000001,332.0001,321.9998,55.99998,28.99998,60
28.99998,348.0002,0.5000001,332.0001,321.9998,55.99998,28.99998,60,29.16665,348.3336,0.4166668,331.6667,321.6664,56.66664,29.16665,60
29.16665,348.3336,0.4166668,331.6667,321.6664,56.66664,29.16665,60,29.33332,348.6669,0.3333334,331.3334,321.3331,57.33331,29.33332,60
29.33332,348.6669,0.3333334,331.3334,321.3331,57.33331,29.33332,60,29.49998,349.0003,0.2500001,331,320.9997,57.99997,29.49998,60
29.49998,349.0003,0.2500001,331,320.9997,57.99997,29.49998,60,29.66665,349.3336,0.1666667,330.6667,320.6664,58.66663,29.66665,60
29.66665,349.3336,0.1666667,330.6667,320.6664,58.66663,29.66665,60,29.83331,349.667,0.08333341,330.3333,320.333,59.3333,29.83331,60
29.83331,349.667,0.08333341,330.3333,320.333,59.3333,29.83331,60,29.99998,350,0,330,320,59.99996,29.99998,60
29.99998,350,0,330,320,59.99996,29.99998,60,30.49998,350.3333,359.6667,330.3333,318.8333,59.66663,30.33331,60.5
30.49998,350.3333,359.6667,330.3333,318.8333,59.66663,30.33331,60.5,30.99998,350.6667,359.3333,330.6667,317.6667,59.3333,30.66665,61
30.99998,350.6667,359.3333,330.6667,317.6667,59.3333,30.66665,61,31.49998,351,359,331,316.5,58.99997,30.99998,61.5
31.49998,351,359,331,316.5,58.99997,30.99998,61.5,31.99998,351.3334,358.6666,331.3334,315.3334,58.66663,31.33332,62
31.99998,351.3334,358.6666,331.3334,315.3334,58.66663,31.33332,62,32.49998,351.6667,358.3333,331.6667,314.1667,58.3333,31.66665,62.5
32.49998,351.6667,358.3333,331.6667,314.1667,58.3333,31.66665,62.5,32.99998,352.0001,357.9999,332.0001,313.0001,57.99997,31.99998,63
32.99998,352.0001,357.9999,332.0001,313.0001,57.99997,31.99998,63,33.49998,352.3334,357.6666,332.3334,311.8334,57.66664,32.33332,63.5
33.49998,352.3334,357.6666,332.3334,311.8334,57.66664,32.33332,63.5,33.99998,352.6667,357.3333,332.6667,310.6667,57.33331,32.66666,64
33.99998,352.6667,357.3333,332.6667,310.6667,57.33331,32.66666,64,34.49998,353.0001,356.9999,333.0001,309.5001,56.99997,32.99999,64.5
34.49998,353.0001,356.9999,333.0001,309.5001,56.99997,32.99999,64.5,34.99998,353.3334,356.6666,333.3334,308.3334,56.66664,33.33333,65
34.99998,353.3334,356.6666,333.3334,308.3334,56.66664,33.33333,65,35.49998,353.6668,356.3332,333.6668,307.1668,56.33331,33.66666,65.5
35.49998,353.6668,356.3332,333.6668,307.1668,56.33331,33.66666,65.5,35.99998,354.0001,355.9999,334.0001,306.0001,55.99998,34,66
35.99998,354.0001,355.9999,334.0001,306.0001,55.99998,34,66,36.49998,354.3335,355.6665,334.3335,304.8335,55.66665,34.33334,66.5
36.49998,354.3335,355.6665,334.3335,304.8335,55.66665,34.33334,66.5,36.99998,354.6668,355.3332,334.6668,303.6668,55.33331,34.66667,67
36.99998,354.6668,355.3332,334.6668,303.6668,55.33331,34.66667,67,37.49998,355.0002,354.9998,335.0002,302.5002,54.99998,35.00001,67.5
37.49998,355.0002,354.9998,335.0002,302.5002,54.99998,35.00001,67.5,37.99998,355.3335,354.6665,335.3335,301.3335,54.66665,35.33334,68
37.99998,355.3335,354.6665,335.3335,301.3335,54.66665,35.33334,68,38.49998,355.6668,354.3332,335.6668,300.1668,54.33332,35.66668,68.5
38.49998,355.6668,354.3332,335.6668,300.1668,54.33332,35.66668,68.5,38.99998,356.0002,353.9998,336.0002,299.0002,53.99998,36.00002,69
38.99998,356.0002,353.9998,336.0002,299.0002,53.99998,36.00002,69,39.49998,356.3335,353.6665,336.3335,297.8335,53.66665,36.33335,69.5
39.49998,356.3335,353.6665,336.3335,297.8335,53.66665,36.33335,69.5,39.99998,356.6669,353.3331,336.6669,296.6669,53.33332,36.66669,70
39.99998,356.6669,353.3331,336.6669,296.6669,53.33332,36.66669,70,40.49998,357.0002,352.9998,337.0002,295.5002,52.99999,37.00002,70.5
40.49998,357.0002,352.9998,337.0002,295.5002,52.99999,37.00002,70.5,40.99998,357.3336,352.6664,337.3336,294.3336,52.66666,37.33336,71
40.99998,357.3336,352.6664,337.3336,294.3336,52.66666,37.33336,71,41.49998,357.6669,352.3331,337.6669,293.1669,52.33332,37.66669,71.5
41.49998,357.6669,352.3331,337.6669,293.1669,52.33332,37.66669,71.5,41.99998,358.0002,351.9998,338.0002,292.0002,51.99999,38.00003,72
41.99998,358.0002,351.9998,338.0002,292.0002,51.99999,38.00003,72,42.49998,358.3336,351.6664,338.3336,290.8336,51.66666,38.33337,72.5
42.49998,358.3336,351.6664,338.3336,290.8336,51.66666,38.33337,72.5,42.99998,358.6669,351.3331,338.6669,289.6669,51.33333,38.6667,73
42.99998,358.6669,351.3331,338.6669,289.6669,51.33333,38.6667,73,43.49998,359.0003,350.9997,339.0003,288.5003,51,39.00004,73.5
43.49998,359.0003,350.9997,339.0003,288.5003,51,39.00004,73.5,43.99998,359.3336,350.6664,339.3336,287.3336,50.66666,39.33337,74
43.99998,359.3336,350.6664,339.3336,287.3336,50.66666,39.33337,74,44.49998,359.667,350.333,339.667,286.167,50.33333,39.66671,74.5
44.49998,359.667,350.333,339.667,286.167,50.33333,39.66671,74.5,44.99998,0.0003051758,350,340,285.0003,50,40,75
44.99998,0.0003051758,350,340,285.0003,50,40,75,45,359.667,350,339.1667,286.5003,49.66667,39.66667,74.5
45,359.667,350,339.1667,286.5003,49.66667,39.66667,74.5,45,359.3336,350,338.3333,288.0003,49.33334,39.33334,74
45,359.3336,350,338.3333,288.0003,49.33334,39.33334,74,45,359.0003,350,337.5,289.5003,49,39,73.5
45,359.0003,350,337.5,289.5003,49,39,73.5,45,358.6669,350,336.6666,291.0003,48.66667,38.66667,73
45,358.6669,350,336.6666,291.0003,48.66667,38.66667,73,45,358.3336,350,335.8333,292.5003,48.33334,38.33334,72.5
45,358.3336,350,335.8333,292.5003,48.33334,38.33334,72.5,45,358.0002,350,334.9999,294.0003,48.00001,38.00001,72
45,358.0002,350,334.9999,294.0003,48.00001,38.00001,72,45,357.6669,350,334.1666,295.5003,47.66668,37.66668,71.5
45,357.6669,350,334.1666,295.5003,47.66668,37.66668,71.5,45,357.3336,350,333.3333,297.0003,47.33334,37.33334,71
45,357.3336,350,333.3333,297.0003,47.33334,37.33334,71,45,357.0002,350,332.4999,298.5003,47.00001,37.00001,70.5
45,357.0002,350,332.4999,298.5003,47.00001,37.00001,70.5,45,356.6669,350,331.6666,300.0003,46.66668,36.66668,70
45,356.6669,350,331.6666,300.0003,46.66668,36.66668,70,45,356.3335,350,330.8332,301.5003,46.33335,36.33335,69.5
45,356.3335,350,330.8332,301.5003,46.33335,36.33335,69.5,45,356.0002,350,329.9999,303.0003,46.00002,36.00002,69
45,356.0002,350,329.9999,303.0003,46.00002,36.00002,69,45,355.6668,350,329.1665,304.5003,45.66668,35.66668,68.5
45,355.6668,350,329.1665,304.5003,45.66668,35.66668,68.5,45,355.3335,350,328.3332,306.0003,45.33335,35.33335,68
45,355.3335,350,328.3332,306.0003,45.33335,35.33335,68,45,355.0002,350,327.4998,307.5003,45.00002,35.00002,67.5
45,355.0002,350,327.4998,307.5003,45.00002,35.00002,67.5,45,354.6668,350,326.6665,309.0003,44.66669,34.66669,67
45,354.6668,350,326.6665,309.0003,44.66669,34.66669,67,45,354.3335,350,325.8332,310.5003,44.33335,34.33335,66.5
45,354.3335,350,325.8332,310.5003,44.33335,34.33335,66.5,45,354.0001,350,324.9998,312.0003,44.00002,34.00002,66
45,354.0001,350,324.9998,312.0003,44.00002,34.00002,66,45,353.6668,350,324.1665,313.5003,43.66669,33.66669,65.5
45,353.6668,350,324.1665,313.5003,43.66669,33.66669,65.5,45,353.3334,350,323.3331,315.0003,43.33336,33.33336,65
45,353.3334,350,323.3331,315.0003,43.33336,33.33336,65,45,353.0001,350,322.4998,316.5003,43.00003,33.00003,64.5
45,353.0001,350,322.4998,316.5003,43.00003,33.00003,64.5,45,352.6667,350,321.6664,318.0003,42.66669,32.66669,64
45,352.6667,350,321.6664,318.0003,42.66669,32.66669,64,45,352.3334,350,320.8331,319.5003,42.33336,32.33336,63.5
45,352.3334,350,320.8331,319.5003,42.33336,32.33336,63.5,45,352.0001,350,319.9998,321.0003,42.00003,32.00003,63
45,352.0001,350,319.9998,321.0003,42.00003,32.00003,63,45,351.6667,350,319.1664,322.5003,41.6667,31.6667,62.5
45,351.6667,350,319.1664,322.5003,41.6667,31.6667,62.5,45,351.3334,350,318.3331,324.0003,41.33337,31.33336,62
45,351.3334,350,318.3331,324.0003,41.33337,31.33336,62,45,351,350,317.4997,325.5003,41.00003,31.00003,61.5
45,351,350,317.4997,325.5003,41.00003,31.00003,61.5,45,350.6667,350,316.6664,327.0003,40.6667,30.66669,61
45,350.6667,350,316.6664,327.0003,40.6667,30.66669,61,45,350.3333,350,315.833,328.5003,40.33337,30.33336,60.5
45,350.3333,350,315.833,328.5003,40.33337,30.33336,60.5,45,350,350,315,330,40.00004,30.00003,60
45,350,350,315,330,40.00004,30.00003,60,44.5,350,350.3333,315,330,40,29.83336,60
44.5,350,350.3333,315,330,40,29.83336,60,44,350,350.6667,315,330,40,29.66669,60
44,350,350.6667,315,330,40,29.66669,60,43.5,350,351,315,330,40,29.50002,60
43.5,350,351,315,330,40,29.50002,60,43,350,351.3334,315,330,40,29.33335,60
43,350,351.3334,315,330,40,29.33335,60,42.5,350,351.6667,315,330,40,29.16669,60
42.5,350,351.6667,315,330,40,29.16669,60,42,350,352.0001,315,330,40,29.00002,60
42,350,352.0001,315,330,40,29.00002,60,41.5,350,352.3334,315,330,40,28.83335,60
41.5,350,352.3334,315,330,40,28.83335,60,41,350,352.6667,315,330,40,28.66668,60
41,350,352.6667,315,330,40,28.66668,60,40.5,350,353.0001,315,330,40,28.50002,60
40.5,350,353.0001,315,330,40,28.50002,60,40,350,353.3334,315,330,40,28.33335,60
40,350,353.3334,315,330,40,28.33335,60,39.5,350,353.6668,315,330,40,28.16668,60
39.5,350,353.6668,315,330,40,28.16668,60,39,350,354.0001,315,330,40,28.00001,60
39,350,354.0001,315,330,40,28.00001,60,38.5,350,354.3335,315,330,40,27.83334,60
38.5,350,354.3335,315,330,40,27.83334,60,38,350,354.6668,315,330,40,27.66668,60
38,350,354.6668,315,330,40,27.66668,60,37.5,350,355.0002,315,330,40,27.50001,60
37.5,350,355.0002,315,330,40,27.50001,60,37,350,355.3335,315,330,40,27.33334,60
37,350,355.3335,315,330,40,27.33334,60,36.5,350,355.6668,315,330,40,27.16667,60
36.5,350,355.6668,315,330,40,27.16667,60,36,350,356.0002,315,330,40,27,60
36,350,356.0002,315,330,40,27,60,35.5,350,356.3335,315,330,40,26.83334,60
35.5,350,356.3335,315,330,40,26.83334,60,35,350,356.6669,315,330,40,26.66667,60
35,350,356.6669,315,330,40,26.66667,60,34.5,350,357.0002,315,330,40,26.5,60
34.5,350,357.0002,315,330,40,26.5,60,34,350,357.3336,315,330,40,26.33333,60
34,350,357.3336,315,330,40,26.33333,60,33.5,350,357.6669,315,330,40,26.16666,60
33.5,350,357.6669,315,330,40,26.16666,60,33,350,358.0002,315,330,40,26,60
33,350,358.0002,315,330,40,26,60,32.5,350,358.3336,315,330,40,25.83333,60
32.5,350,358.3336,315,330,40,25.83333,60,32,350,358.6669,315,330,40,25.66666,60
32,350,358.6669,315,330,40,25.66666,60,31.5,350,359.0003,315,330,40,25.49999,60
31.5,350,359.0003,315,330,40,25.49999,60,31,350,359.3336,315,330,40,25.33332,60
31,350,359.3336,315,330,40,25.33332,60,30.5,350,359.667,315,330,40,25.16666,60
30.5,350,359.667,315,330,40,25.16666,60,30,350,0.0003051758,315,330,40,25,60
30,350,0.0003051758,315,330,40,25,60,29.16667,350.1667,0.08362833,315,330.3333,40.66667,24.33333,60.5
29.16667,350.1667,0.08362833,315,330.3333,40.66667,24.33333,60.5,28.33333,350.3333,0.1669515,315,330.6667,41.33334,23.66667,61
28.33333,350.3333,0.1669515,315,330.6667,41.33334,23.66667,61,27.5,350.5,0.2502747,315,331,42,23,61.5
