left_leg_upper,left_leg_lower,right_leg_upper,right_leg_lower,left_arm_upper,left_arm_lower,right_arm_upper,right_arm_lower,t_left_leg_upper,t_left_leg_lower,t_right_leg_upper,t_right_leg_lower,t_left_arm_upper,t_left_arm_lower,t_right_arm_upper,t_right_arm_lower
1.416667,348.6668,25,322.6668,14.16667,70.83329,336.5,44.33335,1.5,348.0002,25,324.0002,15,69.99995,336,44.00002
1.5,348.0002,25,324.0002,15,69.99995,336,44.00002,1.583333,347.3335,25,325.3335,15.83333,69.16662,335.5,43.66669
1.583333,347.3335,25,325.3335,15.83333,69.16662,335.5,43.66669,1.666667,346.6669,25,326.6669,16.66666,68.33328,335,43.33336
1.666667,346.6669,25,326.6669,16.66666,68.33328,335,43.33336,1.75,346.0002,25,328.0002,17.5,67.49995,334.5,43.00003
1.75,346.0002,25,328.0002,17.5,67.49995,334.5,43.00003,1.833334,345.3336,25,329.3336,18.33333,66.66661,334,42.66669
1.833334,345.3336,25,329.3336,18.33333,66.66661,334,42.66669,1.916667,344.6669,25,330.6669,19.16667,65.83327,333.5,42.33336
1.916667,344.6669,25,330.6669,19.16667,65.83327,333.5,42.33336,2,344.0002,25,332.0002,20,64.99994,333,42.00003
2,344.0002,25,332.0002,20,64.99994,333,42.00003,2.083333,343.3336,25,333.3336,20.83333,64.1666,332.5,41.6667
2.083333,343.3336,25,333.3336,20.83333,64.1666,332.5,41.6667,2.166667,342.6669,25,334.6669,21.66667,63.33327,332,41.33337
2.166667,342.6669,25,334.6669,21.66667,63.33327,332,41.33337,2.25,342.0003,25,336.0003,22.5,62.49994,331.5,41.00003
2.25,342.0003,25,336.0003,22.5,62.49994,331.5,41.00003,2.333333,341.3336,25,337.3336,23.33334,61.66661,331,40.6667
2.333333,341.3336,25,337.3336,23.33334,61.66661,331,40.6667,2.416667,340.667,25,338.667,24.16667,60.83327,330.5,40.33337
2.416667,340.667,25,338.667,24.16667,60.83327,330.5,40.33337,2.5,340.0003,25,340,25,60,330,40.00004
2.5,340.0003,25,340,25,60,330,40.00004,2.416667,339.667,25.16667,340.3333,25.16667,60,329.6667,40.6667
2.416667,339.667,25.16667,340.3333,25.16667,60,329.6667,40.6667,2.333333,339.3336,25.33333,340.6667,25.33333,60,329.3333,41.33337
2.333333,339.3336,25.33333,340.6667,25.33333,60,329.3333,41.33337,2.25,339.0003,25.5,341,25.5,60,329,42.00003
2.25,339.0003,25.5,341,25.5,60,329,42.00003,2.166667,338.6669,25.66666,341.3334,25.66666,60,328.6666,42.66669
2.166667,338.6669,25.66666,341.3334,25.66666,60,328.6666,42.66669,2.083334,338.3336,25.83333,341.6667,25.83333,60,328.3333,43.33336
2.083334,338.3336,25.83333,341.6667,25.83333,60,328.3333,43.33336,2,338.0002,26,342.0001,26,60,327.9999,44.00002
2,338.0002,26,342.0001,26,60,327.9999,44.00002,1.916667,337.6669,26.16666,342.3334,26.16666,60,327.6666,44.66669
1.916667,337.6669,26.16666,342.3334,26.16666,60,327.6666,44.66669,1.833334,337.3336,26.33333,342.6667,26.33333,60,327.3333,45.33335
1.833334,337.3336,26.33333,342.6667,26.33333,60,327.3333,45.33335,1.75,337.0002,26.49999,343.0001,26.49999,60,326.9999,46.00002
1.75,337.0002,26.49999,343.0001,26.49999,60,326.9999,46.00002,1.666667,336.6669,26.66666,343.3334,26.66666,60,326.6666,46.66668
1.666667,336.6669,26.66666,343.3334,26.66666,60,326.6666,46.66668,1.583334,336.3335,26.83333,343.6668,26.83333,60,326.3332,47.33334
1.583334,336.3335,26.83333,343.6668,26.83333,60,326.3332,47.33334,1.5,336.0002,26.99999,344.0001,26.99999,60,325.9999,48.00001
1.5,336.0002,26.99999,344.0001,26.99999,60,325.9999,48.00001,1.416667,335.6668,27.16666,344.3335,27.16666,60,325.6665,48.66667
