310.532, 0.617593
255.559, 0.605876
316.854, 0.506439
282.861, 0.448362
361.385, 0.409437
285.807, 0.382012
288.007, 0.368467
311.353, 0.359978
296.329, 0.345162
325.704, 0.331755
308.795, 0.338299
307.860, 0.327618
298.410, 0.316345
300.177, 0.321165
312.166, 0.317532
309.086, 0.299387
300.014, 0.304431
290.097, 0.300839
313.169, 0.289440
310.256, 0.288090
288.995, 0.285978
291.674, 0.256144
323.076, 0.250149
309.668, 0.248629
297.191, 0.247389
292.770, 0.252400
318.385, 0.249534
311.755, 0.250196
307.958, 0.253673
240.316, 0.250429
254.389, 0.254945
305.650, 0.251493
295.645, 0.251129
282.400, 0.248768
293.780, 0.253052
305.911, 0.250041
295.599, 0.255314
297.070, 0.254918
265.867, 0.251026
295.228, 0.255426
328.156, 0.255485
293.566, 0.253526
326.522, 0.251655
301.432, 0.253739
295.523, 0.254314
313.466, 0.256747
319.574, 0.257254
318.368, 0.258126
322.615, 0.254876
314.520, 0.255439
